"level_id","n_clusters","cluster_size","icc","mu","model_type","n_reps","var_delta","bias_delta","mse_delta","ci_coverage","conv_rate","tau","mean_outcome"
140,100,500,0.05,-3.34563464615371,"log",100,0.00430298422320107,-0.00315237734377797,0.00426989186388662,0.95,1,0.229415733870562,0.0361774654024639
141,10,10,0.1,-3.34563464615371,"log",100,90.2699297110464,1.9409008148466,93.0767072829372,0.957446808510638,0.159574468085106,0.333333333333333,0.0372509030834978
142,26,10,0.1,-3.34563464615371,"log",100,4.0269843904576,0.147465009275036,4.00846047551351,0.95,0.46,0.333333333333333,0.0372509030834978
143,76,10,0.1,-3.34563464615371,"log",100,0.111592376315819,-0.023387047780184,0.111023406556533,0.9,0.57,0.333333333333333,0.0372509030834978
144,100,10,0.1,-3.34563464615371,"log",100,0.112898728404987,0.0629453191343005,0.115731854321857,0.88,0.56,0.333333333333333,0.0372509030834978
145,10,20,0.1,-3.34563464615371,"log",100,3.88938017286664,0.222322496504158,3.89952079690569,0.95959595959596,0.333333333333333,0.333333333333333,0.0372509030834978
146,26,20,0.1,-3.34563464615371,"log",100,0.199130815079013,0.0411039131606504,0.198829038605341,0.95,0.46,0.333333333333333,0.0372509030834978
147,76,20,0.1,-3.34563464615371,"log",100,0.0721537914492501,-0.0161329379548466,0.0716925252218125,0.92,0.61,0.333333333333333,0.0372509030834978
148,100,20,0.1,-3.34563464615371,"log",100,0.0592185012393987,0.0258117481888573,0.0592925625715697,0.94,0.71,0.333333333333333,0.0372509030834978
149,10,50,0.1,-3.34563464615371,"log",100,0.311453469965123,0.15181361674263,0.33138630949395,0.9,0.48,0.333333333333333,0.0372509030834978
150,26,50,0.1,-3.34563464615371,"log",100,0.0966438465754079,0.0259534546363408,0.0963509899172145,0.88,0.65,0.333333333333333,0.0372509030834978
151,76,50,0.1,-3.34563464615371,"log",100,0.0289971871421875,0.0114970234069939,0.0288393968179866,0.87,0.87,0.333333333333333,0.0372509030834978
152,100,50,0.1,-3.34563464615371,"log",100,0.0190920838799464,-0.0113276951270957,0.0190294797180393,0.86,0.8,0.333333333333333,0.0372509030834978
153,10,100,0.1,-3.34563464615371,"log",100,0.140462436220305,-0.0546422065201965,0.142043582591497,0.91,0.63,0.333333333333333,0.0372509030834978
154,26,100,0.1,-3.34563464615371,"log",100,0.045295309252085,0.00977849287700459,0.0449379750825098,0.97,0.83,0.333333333333333,0.0372509030834978
